DATE,EXP4621
2012-04-01,1074.307937
2012-05-01,814.87578
2012-06-01,816.662908
2012-07-01,874.61959
2012-08-01,752.480342
2012-09-01,759.871733
2012-10-01,894.123057
2012-11-01,1123.991035
2012-12-01,1170.922631
2013-01-01,692.91996
2013-02-01,1008.62449
2013-03-01,917.892441
2013-04-01,1087.226442
2013-05-01,781.571515
2013-06-01,781.329553
2013-07-01,874.49955
2013-08-01,941.803952
2013-09-01,1068.463868
2013-10-01,1047.338991
2013-11-01,950.842724
2013-12-01,992.233997
2014-01-01,862.359415
2014-02-01,951.234941
2014-03-01,1015.700879
2014-04-01,1033.787555
2014-05-01,1249.411238
2014-06-01,818.795816
2014-07-01,840.331588
2014-08-01,758.306141
2014-09-01,712.197717
2014-10-01,1050.568067
2014-11-01,913.88396
2014-12-01,545.827713
2015-01-01,631.800811
2015-02-01,591.479022
2015-03-01,702.471777
2015-04-01,768.396408
2015-05-01,668.493882
2015-06-01,574.785018
2015-07-01,409.489446
2015-08-01,494.176365
2015-09-01,470.983185
2015-10-01,484.961338
2015-11-01,813.642462
2015-12-01,475.835698
2016-01-01,365.023629
2016-02-01,384.947888
2016-03-01,730.938954
2016-04-01,467.55917
2016-05-01,496.536767
2016-06-01,376.601314
2016-07-01,415.346299
2016-08-01,617.23842
2016-09-01,467.985858
2016-10-01,665.136008
2016-11-01,458.602812
2016-12-01,385.185544
2017-01-01,320.285495
2017-02-01,430.214251
2017-03-01,538.935599
2017-04-01,666.767057
2017-05-01,479.403625
2017-06-01,786.044096
2017-07-01,454.145875
2017-08-01,687.184424
2017-09-01,750.985886
2017-10-01,592.479258
2017-11-01,687.774952
2017-12-01,608.696281
2018-01-01,433.688441
2018-02-01,568.493063
2018-03-01,575.19737
2018-04-01,664.77017
2018-05-01,577.853485
2018-06-01,643.571489
2018-07-01,467.399632
2018-08-01,577.151649
2018-09-01,455.4803
2018-10-01,690.156413
2018-11-01,523.602998
2018-12-01,480.715404
2019-01-01,472.527905
2019-02-01,545.819683
2019-03-01,852.385574
2019-04-01,412.416219
2019-05-01,428.777617
2019-06-01,553.074161
2019-07-01,401.315648
2019-08-01,398.905174
2019-09-01,374.340499
2019-10-01,473.41122
2019-11-01,415.276508
2019-12-01,459.142084
2020-01-01,341.803227
2020-02-01,406.115419
2020-03-01,433.658444
2020-04-01,362.318964
2020-05-01,341.534758
2020-06-01,442.438692
2020-07-01,346.794144
2020-08-01,398.518391
2020-09-01,498.901139
2020-10-01,433.917209
2020-11-01,432.439296
2020-12-01,450.647531
2021-01-01,387.26717
2021-02-01,594.435013
2021-03-01,477.503569
2021-04-01,641.830517
2021-05-01,594.811731
2021-06-01,536.625852
2021-07-01,496.606564
2021-08-01,490.985377
2021-09-01,575.583765
2021-10-01,523.652669
