,Date,Russia_Ukraine_Date_Flag,Covid_Flag,US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,Nominal_Broad_US_Dollar_Index,Adjusted_Closing_Price,US_Consumer_Sentiment,Average_Hourly_Earning,CPI_Value_Inflation
2,2013-03-01,0,0,0.0242415664916944,-0.005704800114392117,0.09360898713927845,0.05077500020789416,0.07587316847129799,-0.002907711020939008,-0.04993762371527022
3,2013-04-01,0,0,-0.05168484931248085,0.005704800114392117,-0.039666849009269534,0.02643541562832552,-0.16692097063685474,0.014538555104692596,-0.03314858681334143
4,2013-05-01,0,0,0.01555119359844559,-0.022819200457568134,0.05223778802205814,0.030897207061013843,0.6145726646175133,-0.014538555104692374,0.02561304234340578
5,2013-06-01,0,0,-0.04253708837221848,-0.011409600228784122,0.08191736251339421,-0.022784012201157555,-0.030349267388519632,0.014538555104692152,0.00566141942041809
6,2013-07-01,0,0,0.34715752768294306,0.0,0.06391855691477,0.07400612303278664,0.07587316847129799,-0.014538555104692152,-0.018233674960930868
7,2013-08-01,0,0,0.07089514728703028,-0.005704800114392117,-0.017097779745374186,-0.04914490939219407,-0.22761950541389395,0.005815422041876683,0.007379367382475355
8,2013-09-01,0,0,-0.029272835008838483,0.0,-0.026520556138380114,0.04525132104383589,-0.34901657496797034,0.0,-0.0003513984467851117
9,2013-10-01,0,0,-0.28083626086604263,0.005704800114392117,-0.10544173629639375,0.06985172015391639,-0.3262546244265811,-0.0029077110209378976,-0.03416373788183069
10,2013-11-01,0,0,-0.3421262591657992,-0.005704800114392117,0.09492253085304858,0.04589404256545482,0.14415902009546555,0.011630844083753367,0.00491957825498357
11,2013-12-01,0,0,0.14407723480912615,0.005704800114392117,0.017401740274181732,0.03963449383316631,0.5614614466876054,-0.014538555104692152,0.017843232242283014
12,2014-01-01,0,0,-0.10428447471898683,-0.011409600228784122,0.10104516436186795,-0.061263470256341934,-0.09863511901268715,0.008723133062815469,0.034632269144208916
13,2014-02-01,0,0,0.33343588627255016,0.0,0.019627165574373162,0.07159358862555054,0.030349267388518536,0.014538555104691486,-7.808854372926e-05
